atc1,atc1_label,atc2,atc2_label,atc3,atc3_label,atc4,atc4_label,atc5,atc5_label,boites,rem,bse
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AB,CORTICOIDES D'ACTIVITE MODEREE (GROUPE II),9999999,Non restitué,2535.0,4204.47,5930.17
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AB,CORTICOIDES D'ACTIVITE MODEREE (GROUPE II),D07AB02,HYDROCORTISONE BUTYRATE,87692.0,165762.3,228395.96
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AB,CORTICOIDES D'ACTIVITE MODEREE (GROUPE II),D07AB08,DESONIDE,154609.0,207741.11,268092.62
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),9999999,Non restitué,8178.0,15476.99,21406.72
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),D07AC01,BETAMETHASONE,980845.0,1002094.78,1178459.75
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),D07AC06,DIFLUCORTOLONE,189516.0,222596.33,272660.88
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),D07AC16,HYDROCORTISONE ACEPONATE,9700.0,16524.27,21646.53
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),D07AC17,FLUTICASONE,14127.0,27913.08,37809.98
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AC,CORTICOIDES D'ACTIVITE FORTE (GROUPE III),D07AC19,DIFLUPREDNATE,106.0,119.55,171.72
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07A,CORTICOIDES NON ASSOCIES,D07AD,COSTICOSTEROIDES D'ACTIVITE TRES FORTE (GROUPE IV),D07AD01,CLOBETASOL,1428408.0,968874.7,1131138.05
D,DERMATOLOGIE,D07,"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES",D07X,"CORTICOIDES, AUTRES ASSOCIATIONS",D07XC,"CORTICOIDES D'ACTIVITE FORTE, AUTRES ASSOCIATIONS",D07XC01,BETAMETHASONE,61086.0,122392.74,166933.21
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,99999,Non restitué,9999999,Non restitué,4069.0,4381.65,9244.8
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,D08AC,BIGUANIDES ET AMIDINES,9999999,Non restitué,1655.0,1341.9,4001.28
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,D08AC,BIGUANIDES ET AMIDINES,D08AC02,CHLORHEXIDINE,259052.0,190013.83,479301.03
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,D08AC,BIGUANIDES ET AMIDINES,D08AC52,CHLORHEXIDINE EN ASSOCIATION,1345199.0,1046662.22,1711571.67
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,D08AG,DERIVES IODES,D08AG02,POVIDONE IODEE,1837171.0,779793.02,1131141.77
D,DERMATOLOGIE,D08,ANTISEPTIQUES ET DESINFECTANTS,D08A,ANTISEPTIQUES ET DESINFECTANTS,D08AX,AUTRES ANTISEPTIQUES ET DESINFECTANTS,D08AX07,SODIUM HYPOCHLORITE,146179.0,168018.06,337016.11
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,9999,Non restitué,99999,Non restitué,9999999,Non restitué,2894.0,10332.14,19671.64
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,99999,Non restitué,9999999,Non restitué,5912.0,8760.91,25000.3
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AD,RETINOIDES ANTIACNEIQUES A USAGE TOPIQUE,9999999,Non restitué,1387.0,1204.26,3565.9300000000003
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AD,RETINOIDES ANTIACNEIQUES A USAGE TOPIQUE,D10AD01,TRETINOINE,3821.0,3484.98,9290.039999999999
